Cement (Kg/m3),Fly ash(kg/m3),Fine Aggregate (kg/m3),Coarse Aggregate (kg/m3),Crush Sand (kg/m3),Water Cement Ratio,Water (kg/m3),Admixture(kg/m3),28-day Compressive Strength (N/mm2) M30,
330,110,538,464,889,0.38,160,5.05,41.73,
360,120,399,598,815,0.34,163,4.8,40.13,
350,110,492,520,839,0.36,166,4.6,41.08,
375,125,530,480,787,0.42,160,5.25,42.53,
350,110,417,628,786,0.35,160,4.6,41.92,
360,110,360,629,877,0.45,160,6.11,39.48,
320,105,387,624,896,0.45,160,4.89,37.2,
370,108,525,640,750,0.41,200,2.2,33.42,
400,115,492,535,857,0.42,193,4,34.76,
330,115,535,460,880,0.38,155,5.8,38,
325,115,533,469,885,0.35,160,5.05,35.13,
360,120,400,598,815,0.34,163,4.8,37.73,
350,110,456,562,835,0.36,166,4.6,40.33,
375,125,440,578,787,0.43,160,5.25,41,
320,110,417,628,786,0.35,160,4.6,40,
360,110,360,629,870,0.39,160,6.11,38.22,
320,105,387,620,896,0.4,160,4.89,36,
370,108,525,640,700,0.42,200,2.2,32,
400,110,492,535,857,0.42,193,4,37.8,
330,115,535,460,880,0.45,155,5.8,38.9,
330,110,538,465,889,0.35,160,5.05,39.2,
360,120,395,598,815,0.36,163,4.8,36.8,
350,110,592,408,840,0.36,166,4.6,40.2,
375,125,492,540,787,0.39,160,5.25,41.05,
320,110,417,628,786,0.35,160,4.6,39.44,
360,110,360,629,870,0.43,160,6.11,38.15,
320,105,385,624,896,0.42,160,4.89,33.68,
370,115,525,620,750,0.43,200,2.2,32.55,
410,104,492,535,857,0.42,193,4,35,
330,115,535,450,880,0.38,155,5.8,42.7,
325,115,530,469,885,0.39,160,5.05,41.5,
360,120,400,598,810,0.42,163,4.8,36.45,
350,120,492,520,835,0.36,166,4.6,33.5,
375,125,620,349,780,0.39,160,5.25,32,
320,132,420,628,786,0.35,160,4.6,40,
360,110,360,629,870,0.42,160,6.11,41.52,
320,105,387,620,896,0.43,160,4.89,36,
370,120,525,640,700,0.39,200,2.2,32.8,
400,115,492,535,857,0.42,193,4,31,
330,115,535,460,880,0.44,155,5.8,38,
330,110,538,464,889,0.45,160,5.05,37.73,
360,120,399,598,815,0.38,163,4.8,35.13,
350,110,580,410,839,0.36,166,4.6,33.08,
375,125,620,437,787,0.35,160,5.25,36.53,
350,110,417,628,786,0.35,160,4.6,31.92,
360,110,360,629,877,0.45,160,6.11,39.48,
320,105,387,624,896,0.42,160,4.89,37.2,
370,106,525,640,750,0.43,200,2.2,33.42,
400,98,492,535,857,0.42,193,4,34.76,
330,115,535,460,880,0.39,155,5.8,37.1,
360,110,440,645,700,0.45,200,2.2,32.2,
350,105,450,530,850,0.42,193,4,31.5,
320,115,540,460,875,0.35,155,5.8,38.2,
340,110,535,464,890,0.38,160,5.05,37.73,
330,120,490,590,815,0.45,163,4.8,35.13,
360,110,360,629,870,0.42,160,6.11,34.15,
320,105,387,620,896,0.38,160,4.89,40.15,
370,104,525,640,700,0.35,200,2.2,39,
400,110,492,535,857,0.42,193,4,37,
330,115,535,460,880,0.45,155,5.8,38.95,
330,110,538,464,889,0.45,160,5.05,37.73,
360,120,399,598,815,0.35,163,4.8,41.13,
350,110,528,496,839,0.36,166,4.6,40.08,
350,110,480,572,840,0.36,166,4.6,38.08,
375,125,420,612,787,0.42,160,5.25,41.2,
320,110,417,628,786,0.35,160,4.6,42.07,
360,110,360,629,870,0.45,160,6.11,40.44,
320,105,385,624,896,0.45,160,4.89,40.78,
370,122,525,620,750,0.35,200,2.2,36.14,
410,106,492,535,857,0.42,193,4,37.29,
330,115,535,450,880,0.45,155,5.8,40.45,
325,115,533,469,885,0.44,160,5.05,42.13,
360,120,400,598,815,0.36,163,4.8,41.73,
350,110,462,592,835,0.36,166,4.6,38.45,
375,125,570,480,787,0.38,160,5.25,41.07,
320,110,417,628,786,0.35,160,4.6,40.45,
360,110,360,629,870,0.45,160,6.11,38.21,
320,105,387,620,896,0.42,160,4.89,36.41,
370,0,525,640,700,0.45,200,2.2,32.33,
400,0,492,535,857,0.42,193,4,36.45,
330,115,535,460,880,0.45,155,5.8,37.98,
330,110,538,465,889,0.35,160,5.05,38.45,
360,120,395,598,815,0.37,163,4.8,42.5,
350,110,620,394,840,0.36,166,4.6,40.45,
375,125,495,562,787,0.38,160,5.25,41.1,
320,110,417,628,786,0.35,160,4.6,37.42,
360,110,360,629,870,0.38,160,6.11,38.45,
320,105,385,624,896,0.4,160,4.89,42.01,
370,122,525,620,750,0.42,200,2.2,34.45,
410,96,492,535,857,0.42,193,4,35.55,
330,115,535,450,880,0.45,155,5.8,40.45,
325,115,530,469,885,0.45,160,5.05,41.22,
360,120,400,598,810,0.4,163,4.8,39.44,
350,120,580,430,835,0.36,166,4.6,39.5,
375,125,620,398,780,0.38,160,5.25,40.85,
360,110,360,629,870,0.42,160,6.11,42.45,
320,105,385,624,896,0.39,160,4.89,41.88,
370,102,525,620,750,0.38,200,2.2,38.95,
410,98,492,535,857,0.42,193,4,39.45,
